Date,Emp_ID,Emp_Name,Model,Line,Stage,Stage_Criticality,Units_Checked,Total_Errors,Defect_Rate,Pass_Ratio,Error_Std_Dev,Critical_Exposure,Suitability_Score
2026-01-14,1007,Neha,Fortuner,BE-09,Battery,Semi-Critical,1770,2,0.0011,0.999,0.07,92,96.88
2026-01-15,1006,Shubham,Prado NA,BE-07,Inner VI,Semi-Critical,2269,2,0.0009,0.999,0.74,62,87.69
2026-01-16,1001,Anuj,Prado EU,BE-09,RF Cable,Critical,1558,1,0.0006,0.999,0.28,66,92.65
2026-01-11,1007,Neha,Fortuner,BE-07,Battery,Semi-Critical,2004,0,0,1,0.2,43,91.58
2026-01-16,1002,Kajal,Fortuner,BE-07,Camera,Critical,2276,0,0,1,0.29,64,92.43
2026-01-11,1008,Saurabh,Fortuner,BE-08,RF Cable,Critical,1705,1,0.0006,0.999,0.51,58,89.68
2026-01-14,1002,Kajal,Fortuner,BE-07,Camera,Critical,2055,4,0.0019,0.998,0.05,44,93.02
2026-01-14,1002,Kajal,Innova,BE-07,Inner VI,Semi-Critical,2291,0,0,1,0.65,45,87.25
2026-01-12,1001,Anuj,Prado NA,BE-09,PCB,Critical,2020,2,0.001,0.998,0.85,39,84.67
2026-01-12,1005,Puja,Fortuner,BE-08,Camera,Critical,1730,4,0.0023,0.997,0.8,41,85.23
2026-01-16,1003,Ritesh,Innova,BE-08,PCB,Critical,2238,0,0,1,0.91,94,88.73
2026-01-16,1007,Neha,Prado NA,BE-07,RF Cable,Critical,1892,1,0.0005,0.999,0.24,100,95.89
2026-01-14,1004,Rishi,Fortuner,BE-09,Cosmetic,Normal,1984,0,0,1,0.91,40,84.23
2026-01-11,1003,Ritesh,Innova,BE-07,Cosmetic,Normal,2295,4,0.0017,0.998,1.07,79,85.75
2026-01-10,1007,Neha,Innova,BE-09,Cosmetic,Normal,1724,0,0,1,0,81,96.75
2026-01-10,1006,Shubham,Fortuner,BE-07,RF Cable,Critical,2148,2,0.0009,0.999,0.2,36,90.93
2026-01-10,1001,Anuj,Prado EU,BE-08,Camera,Critical,2063,2,0.001,0.999,1.2,63,83.18
2026-01-15,1006,Shubham,Fortuner,BE-09,Inner VI,Semi-Critical,2235,1,0.0004,0.999,0.59,36,87.07
2026-01-16,1004,Rishi,Fortuner,BE-07,RF Cable,Critical,1683,2,0.0012,0.998,0.76,15,83.55
2026-01-13,1009,Kiran,Innova,BE-08,Battery,Semi-Critical,1686,0,0,1,0.71,63,88.15
2026-01-10,1003,Ritesh,Innova,BE-07,RF Cable,Critical,1647,1,0.0006,0.999,0.46,86,92.52
2026-01-10,1009,Kiran,Prado EU,BE-07,Camera,Critical,1650,2,0.0012,0.998,1.18,64,83.44
2026-01-13,1005,Puja,Fortuner,BE-08,Inner VI,Semi-Critical,1659,1,0.0006,0.999,0.87,7,81.84
2026-01-15,1008,Saurabh,Innova,BE-08,PCB,Critical,2127,0,0,1,1.08,88,86.53
2026-01-12,1009,Kiran,Fortuner,BE-07,RF Cable,Critical,1652,0,0,1,0.66,58,88.23
2026-01-16,1009,Kiran,Innova,BE-07,Battery,Semi-Critical,1660,0,0,1,0.21,12,88.9
2026-01-12,1001,Anuj,Prado EU,BE-09,Battery,Semi-Critical,1969,0,0,1,1.17,113,87.72
2026-01-10,1002,Kajal,Fortuner,BE-07,Inner VI,Semi-Critical,2297,3,0.0013,0.998,0.69,68,88.66
2026-01-10,1005,Puja,Fortuner,BE-09,Cosmetic,Normal,1598,2,0.0013,0.998,0.69,64,88.33
2026-01-11,1005,Puja,Fortuner,BE-09,PCB,Critical,1755,2,0.0011,0.998,1.12,50,82.87
2026-01-11,1006,Shubham,Prado NA,BE-07,Camera,Critical,2138,5,0.0023,0.997,0.97,103,88.7
2026-01-16,1010,Maya,Prado EU,BE-09,PCB,Critical,1535,5,0.0033,0.996,0.11,91,96.23
2026-01-10,1009,Kiran,Fortuner,BE-07,Camera,Critical,2074,4,0.0019,0.997,0.64,105,92.2
2026-01-13,1005,Puja,Fortuner,BE-07,Battery,Semi-Critical,2273,0,0,1,0.65,59,88.42
2026-01-11,1002,Kajal,Innova,BE-08,Battery,Semi-Critical,1605,0,0,1,0.32,96,94.8
2026-01-11,1005,Puja,Prado EU,BE-07,Camera,Critical,1616,0,0,1,0.83,5,82.12
2026-01-14,1002,Kajal,Prado EU,BE-07,Cosmetic,Normal,1617,2,0.0012,0.998,0.89,67,86.58
2026-01-14,1007,Neha,Innova,BE-07,RF Cable,Critical,1575,1,0.0006,0.999,0.41,96,93.85
2026-01-10,1004,Rishi,Prado EU,BE-08,Inner VI,Semi-Critical,1703,0,0,1,0.97,104,88.97
2026-01-14,1005,Puja,Fortuner,BE-09,Camera,Critical,2021,3,0.0015,0.998,0.6,73,89.96
2026-01-13,1002,Kajal,Innova,BE-07,PCB,Critical,1659,3,0.0018,0.997,0.65,105,92.11
2026-01-11,1001,Anuj,Innova,BE-09,Camera,Critical,1542,1,0.0006,0.999,0.02,119,99.67
2026-01-14,1001,Anuj,Prado EU,BE-07,Camera,Critical,2275,2,0.0009,0.999,0.6,62,89.1
2026-01-12,1008,Saurabh,Prado NA,BE-09,Battery,Semi-Critical,2228,1,0.0004,0.999,0.9,68,86.63
2026-01-15,1004,Rishi,Prado NA,BE-07,Camera,Critical,1595,3,0.0019,0.997,0.91,109,89.83
2026-01-13,1004,Rishi,Prado NA,BE-09,PCB,Critical,1841,1,0.0005,0.999,1.15,23,80.38
2026-01-14,1004,Rishi,Innova,BE-07,RF Cable,Critical,2005,2,0.001,0.999,0.81,104,90.49
2026-01-14,1007,Neha,Innova,BE-09,Inner VI,Semi-Critical,2192,1,0.0005,0.999,0.53,91,92.25
2026-01-10,1002,Kajal,Prado EU,BE-09,Battery,Semi-Critical,1508,2,0.0013,0.998,0.84,46,85.33
2026-01-13,1010,Maya,Prado NA,BE-09,Camera,Critical,2016,1,0.0005,0.999,1.04,90,87.06
2026-01-11,1007,Neha,Prado EU,BE-09,PCB,Critical,1800,2,0.0011,0.998,0.67,95,91.12
